Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
1014347-12-141,77021,Abm Industries Inc,Ampco System Parking Inc,600 Montgomery St,San Francisco,CA,94111,10/1/1970,,1/1/2014,12/31/2018,14141 Southwest Fwy Ste 477,Sugar Land,77478,TX,5600-5699,Administrative and Support Services,FALSE,FALSE,,,3,Chinatown,,POINT (-122.40312 37.794758),1014347-12-141-0077021-5600-5699-01-01-2014,108,6,3,6,108
1014379-12-141,77021,Abm Industries Inc,Ampco System Parking Inc,501 Post St,San Francisco,CA,94102,10/1/1970,,1/1/2014,12/31/2018,14141 Southwest Fwy Ste 477,Sugar Land,77478,TX,5600-5699,Administrative and Support Services,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.410164 37.78804),1014379-12-141-0077021-5600-5699-01-01-2014,50,6,3,36,50
0030032-46-001,30032,Walgreen Co,Walgreens #15567,845 Market St,San Francisco,CA,94103,10/1/1968,,1/24/2014,1/25/2014,300 Wilmot Rd # Stop,Deerfield,60015,IL,4400-4599,Retail Trade,FALSE,FALSE,,,6,South of Market,,POINT (-122.40681 37.784874),0030032-46-001-0030032-4400-4599-01-24-2014,32,5,10,34,32
0088595-01-001,88595,Spano Robert & Crivello R Eta,282-290 Clipper Apts,282 Clipper St,San Francisco,CA,94114,8/19/1976,8/6/2021,8/19/1976,12/31/2013,,,,,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,8,Noe Valley,,POINT (-122.431206 37.74908),0088595-01-001-0088595-5300-5399-08-19-1976,84,3,5,22,84
0028703-02-001,28703,Vericlaim Inc,Vericlaim Inc,500 Sansome St Ste 614,San Francisco,CA,94111,10/1/1968,6/30/2019,9/24/2007,6/30/2019,,,,,5240-5249,Insurance,FALSE,FALSE,,,3,Chinatown,,POINT (-122.401474 37.794933),0028703-02-001-0028703-5240-5249-09-24-2007,108,6,3,6,108
1012834-11-141,91116,Urban Land Services Of Cal,Urban Land Services Of Cal,1170 Sacramento St 5d,San Francisco,CA,94108,3/15/1974,12/31/2020,7/28/2014,12/31/2020,,,,,5300-5399,Real Estate and Rental and Leasing Services,FALSE,FALSE,,,3,Nob Hill,,POINT (-122.41205 37.792656),1012834-11-141-0091116-5300-5399-07-28-2014,16,6,3,21,16
0348331-01-001,348331,Tran Sandy Dung,Elizabeth Hair Studio,672 Geary St,San Francisco,CA,94102,8/20/2001,,8/20/2001,2/28/2014,710 Geary St,San Francisco,94109,CA,8100-8139,Certain Services,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.41432 37.78661),0348331-01-001-0348331-8100-8139-08-20-2001,50,6,3,36,50
0331802-01-001,331802,Ken Chi Chuan Association,Ken Chi Chuan Association,3626 Taraval St Apt 3,San Francisco,CA,94116,11/1/1999,,11/1/1999,,3626 Taraval St 3 Apt,San Francisco,94116,CA,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,4,Sunset/Parkside,,POINT (-122.50496 37.741776),0331802-01-001-0331802-7100-7199-11-01-1999,39,10,7,35,39
0161292-03-001,161292,Fisher Marie F,Marie Fisher Interior Design,55 New Montgomery St Ste 801,San Francisco,CA,94105,5/31/2011,,6/6/2011,,1142 Grant Ave Fl 2,San Francisco,94133,CA,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,6,Financial District/South Beach,,POINT (-122.401215 37.78807),0161292-03-001-0161292-5400-5499-06-06-2011,108,6,10,8,108
0124761-06-001,124761,Vaccaro Joseph & Maria,119 Day St Apts,119 Day St,San Francisco,CA,94131,5/24/1977,11/18/2020,7/1/2007,12/31/2013,,,,,2300-2399,Construction,FALSE,FALSE,,,8,Noe Valley,,POINT (-122.4248 37.742977),0124761-06-001-0124761-2300-2399-07-01-2007,84,9,5,22,84
